Country,Region,Date,Gender,Population_Density,Health_Expenditure_Govt,Health_Expenditure_Pvt,Health_Expenditure_Indv,Life_Expectancy,Education_Expenditure,Mean_years_in_school,Average_Income,Employment_Rate,Income_Inequality,Child_Mortality_Rate,Adult_Mortality_Rate,Suicides,Murders
Afghanistan,ASIA (EX. NEAR EAST)         ,2005,Male,38.4,5.62,94.4,79.0,57.4,2.6,4.23,604.0,80.5,30.5,470.0,519.0,1600.0,4750.0
Albania,EASTERN EUROPE                     ,2005,Male,112.0,36.1,63.9,52.5,72.7,3.0,9.75,668.0,57.1,38.9,375.0,151.0,204.0,94.4
Algeria,NORTHERN AFRICA                    ,2005,Male,14.0,73.3,26.7,28.1,71.5,4.47,7.99,729.0,62.0,56.2,460.0,318.0,1210.0,451.0
Andorra,WESTERN EUROPE                     ,2005,Male,168.0,64.8,35.2,50.5,0.0,1.54,13.8,1230.0,0.0,40.0,12.9,0.0,7.04,0.5
Angola,SUB-SAHARAN AFRICA                 ,2005,Male,15.7,79.2,20.8,42.3,50.3,2.62,5.0,657.0,64.8,57.2,486.0,495.0,980.0,845.0
Antigua and Barbuda,LATIN AMER. & CARIB    ,2005,Male,203.0,69.0,31.0,29.9,72.1,2.96,12.2,758.0,0.0,40.0,419.0,234.0,1.89,4.5
Argentina,LATIN AMER. & CARIB    ,2005,Male,14.3,53.9,46.1,33.0,71.0,3.49,10.5,1510.0,68.0,47.7,402.0,236.0,4470.0,2200.0
Armenia,C.W. OF IND. STATES ,2005,Male,105.0,18.1,81.9,72.4,69.3,2.59,10.3,515.0,56.8,31.5,364.0,176.0,181.0,131.0
Australia,OCEANIA                            ,2005,Male,2.63,66.8,33.2,19.6,78.6,4.9,13.5,841.0,68.7,38.7,391.0,189.0,2430.0,292.0
Austria,WESTERN EUROPE                     ,2005,Male,100.0,76.8,23.2,19.2,76.6,5.09,10.7,1950.0,62.5,33.4,306.0,202.0,1520.0,78.7
Azerbaijan,C.W. OF IND. STATES ,2005,Male,103.0,18.5,81.5,87.5,65.7,3.34,11.0,777.0,61.2,70.5,372.0,221.0,362.0,386.0
Bahamas,LATIN AMER. & CARIB    ,2005,Male,32.9,47.6,52.4,29.9,70.7,3.84,11.4,1450.0,73.9,40.0,414.0,272.0,9.44,62.8
Bahrain,NEAR EAST                          ,2005,Male,1170.0,67.5,32.5,28.2,74.6,3.0,9.11,1310.0,85.7,40.0,440.0,192.0,75.5,19.0
Bangladesh,ASIA (EX. NEAR EAST)         ,2005,Male,1100.0,39.0,61.0,64.9,67.3,1.54,5.9,875.0,83.2,28.0,508.0,236.0,12100.0,4320.0
Barbados,LATIN AMER. & CARIB    ,2005,Male,637.0,65.8,34.2,35.1,71.7,5.55,9.77,915.0,69.5,40.0,495.0,232.0,14.2,29.4
Belarus,C.W. OF IND. STATES ,2005,Male,47.4,75.5,24.5,21.8,62.7,5.58,11.1,612.0,66.7,55.6,366.0,249.0,4030.0,1120.0
Belgium,WESTERN EUROPE                     ,2005,Male,348.0,74.6,25.4,17.5,76.1,5.6,12.0,2420.0,56.6,41.7,321.0,184.0,2250.0,177.0
Belize,LATIN AMER. & CARIB    ,2005,Male,12.4,52.8,47.2,34.0,66.3,5.33,8.48,580.0,75.8,60.3,420.0,181.0,17.8,54.8
Benin,SUB-SAHARAN AFRICA                 ,2005,Male,70.8,44.2,55.8,51.1,55.9,3.62,5.32,598.0,75.9,40.7,430.0,422.0,585.0,224.0
Bhutan,ASIA (EX. NEAR EAST)         ,2005,Male,17.2,79.3,20.7,16.8,64.7,4.3,6.25,631.0,73.4,40.9,458.0,490.0,41.9,9.86
Bolivia,LATIN AMER. & CARIB    ,2005,Male,8.42,60.1,39.9,30.5,61.4,5.59,9.47,855.0,79.0,39.2,405.0,387.0,585.0,583.0
Bosnia and Herzegovina,EASTERN EUROPE                     ,2005,Male,74.1,57.6,42.4,45.2,72.5,0.0,9.5,670.0,43.8,30.0,379.0,209.0,328.0,128.0
Botswana,SUB-SAHARAN AFRICA                 ,2005,Male,3.27,62.2,37.8,6.44,50.3,9.32,7.02,398.0,58.1,47.0,397.0,320.0,322.0,286.0
Brazil,LATIN AMER. & CARIB    ,2005,Male,22.4,40.3,59.7,35.0,68.3,4.39,6.92,1110.0,73.6,37.9,417.0,280.0,11800.0,54400.0
Brunei,ASIA (EX. NEAR EAST)         ,2005,Male,69.3,86.5,13.5,16.3,74.7,2.83,14.1,1520.0,74.0,40.0,455.0,199.0,14.5,4.56
Bulgaria,EASTERN EUROPE                     ,2005,Male,70.8,60.9,39.1,38.9,69.2,3.81,10.3,1090.0,50.6,38.9,362.0,178.0,1300.0,259.0
Burkina Faso,SUB-SAHARAN AFRICA                 ,2005,Male,49.1,39.6,60.4,30.7,52.4,4.27,2.94,481.0,83.6,38.1,455.0,444.0,772.0,117.0
Burundi,SUB-SAHARAN AFRICA                 ,2005,Male,289.0,28.6,71.4,35.2,51.1,3.6,4.47,423.0,78.4,35.1,424.0,423.0,684.0,77.2
Cambodia,ASIA (EX. NEAR EAST)         ,2005,Male,75.2,20.4,79.6,60.9,60.7,1.65,6.21,905.0,84.8,42.0,380.0,794.0,763.0,547.0
Cameroon,SUB-SAHARAN AFRICA                 ,2005,Male,36.9,20.8,79.2,76.6,52.0,2.89,7.45,627.0,78.0,41.9,460.0,388.0,1580.0,658.0
Canada,NORTHERN AMERICA                   ,2005,Male,3.55,70.4,29.6,15.4,77.8,4.66,13.3,1440.0,67.5,44.8,333.0,185.0,4260.0,525.0
Cape Verde,SUB-SAHARAN AFRICA                 ,2005,Male,118.0,73.5,26.5,24.6,69.9,5.64,6.84,530.0,67.7,52.5,395.0,310.0,65.9,62.0
Central African Republic,SUB-SAHARAN AFRICA                 ,2005,Male,6.63,41.4,58.6,42.6,43.2,1.61,5.6,425.0,74.3,57.6,444.0,422.0,368.0,257.0
Chad,SUB-SAHARAN AFRICA                 ,2005,Male,7.99,42.5,57.5,56.2,47.2,1.01,4.08,419.0,76.1,28.2,432.0,442.0,492.0,270.0
Chile,LATIN AMER. & CARIB    ,2005,Male,21.7,41.6,58.4,42.5,74.8,3.36,11.3,1030.0,67.9,48.4,417.0,274.0,1960.0,783.0
China,ASIA (EX. NEAR EAST)         ,2005,Male,141.0,38.3,61.7,57.7,72.5,1.79,9.84,985.0,76.1,37.1,417.0,201.0,180000.0,31400.0
Colombia,LATIN AMER. & CARIB    ,2005,Male,39.0,70.8,29.3,17.9,68.7,4.1,8.7,964.0,74.2,59.1,417.0,257.0,2820.0,19600.0
Comoros,SUB-SAHARAN AFRICA                 ,2005,Male,329.0,52.8,47.3,80.1,58.5,3.88,6.07,706.0,48.0,34.1,416.0,425.0,27.6,39.9
"Congo, Dem. Rep.",SUB-SAHARAN AFRICA                 ,2005,Male,24.2,4.08,95.9,68.2,52.2,1.28,6.48,513.0,71.2,40.4,423.0,424.0,3020.0,2090.0
"Congo, Rep.",SUB-SAHARAN AFRICA                 ,2005,Male,10.9,57.7,42.3,52.0,53.6,2.52,7.7,598.0,57.6,56.4,409.0,328.0,236.0,171.0
Costa Rica,LATIN AMER. & CARIB    ,2005,Male,83.2,76.8,23.2,32.8,75.8,4.23,8.61,777.0,76.4,42.1,441.0,177.0,307.0,292.0
Cote d'Ivoire,SUB-SAHARAN AFRICA                 ,2005,Male,57.7,26.3,73.7,60.4,46.9,4.06,5.45,859.0,74.7,40.3,428.0,401.0,1530.0,370.0
Croatia,EASTERN EUROPE                     ,2005,Male,78.2,86.1,13.9,13.4,71.9,3.73,9.13,1240.0,54.0,16.3,367.0,253.0,952.0,87.7
Cuba,LATIN AMER. & CARIB    ,2005,Male,106.0,90.1,9.9,14.8,76.0,9.19,11.3,1020.0,66.2,40.0,389.0,153.0,1670.0,626.0
Cyprus,NEAR EAST                          ,2005,Male,111.0,41.6,58.4,51.2,76.5,5.91,12.2,855.0,69.5,30.1,339.0,133.0,44.4,18.4
Czech Republic,EASTERN EUROPE                     ,2005,Male,133.0,90.3,9.68,11.1,73.0,3.67,11.4,1920.0,64.4,22.8,380.0,213.0,1730.0,182.0
Denmark,WESTERN EUROPE                     ,2005,Male,128.0,83.9,16.1,14.7,75.7,7.66,11.7,2070.0,68.2,37.2,363.0,160.0,832.0,66.2
Djibouti,SUB-SAHARAN AFRICA                 ,2005,Male,33.8,67.8,32.2,41.7,56.6,7.43,7.82,786.0,69.5,36.5,445.0,359.0,29.5,57.1
Dominica,LATIN AMER. & CARIB    ,2005,Male,94.2,69.0,31.0,40.5,0.0,5.0,11.0,664.0,0.0,40.0,139.0,154.0,2.59,5.15
Dominican Republic,LATIN AMER. & CARIB    ,2005,Male,191.0,34.5,65.5,53.9,68.6,1.82,8.34,668.0,77.5,39.9,445.0,242.0,525.0,1140.0
Ecuador,LATIN AMER. & CARIB    ,2005,Male,55.3,31.3,68.8,63.0,71.2,2.53,8.89,530.0,78.5,41.9,406.0,245.0,1120.0,2540.0
Egypt,NORTHERN AFRICA                    ,2005,Male,77.1,40.5,59.5,64.6,67.1,4.41,9.32,792.0,67.8,34.0,405.0,257.0,2400.0,457.0
El Salvador,LATIN AMER. & CARIB    ,2005,Male,291.0,45.2,54.8,43.0,65.7,2.76,7.94,976.0,72.0,41.2,462.0,357.0,561.0,3500.0
Equatorial Guinea,SUB-SAHARAN AFRICA                 ,2005,Male,27.0,46.3,53.7,69.2,53.1,1.0,6.99,362.0,58.2,40.0,447.0,468.0,37.1,25.0
Eritrea,SUB-SAHARAN AFRICA                 ,2005,Male,39.3,47.6,52.4,35.2,56.7,1.99,5.7,533.0,79.4,40.0,441.0,436.0,259.0,331.0
Estonia,BALTICS                            ,2005,Male,32.0,67.8,32.2,20.5,67.1,4.58,9.15,953.0,58.8,47.8,362.0,281.0,377.0,140.0
Ethiopia,SUB-SAHARAN AFRICA                 ,2005,Male,76.7,53.6,46.4,31.3,54.8,3.27,5.46,524.0,88.3,47.7,448.0,439.0,5390.0,7390.0
Fiji,OCEANIA                            ,2005,Male,45.0,84.1,15.9,12.1,65.8,5.78,10.6,787.0,71.0,35.3,499.0,274.0,98.5,44.0
Finland,WESTERN EUROPE                     ,2005,Male,17.3,71.3,28.7,19.0,75.5,5.62,11.2,1280.0,59.5,47.1,370.0,235.0,1170.0,123.0
France,WESTERN EUROPE                     ,2005,Male,112.0,79.4,20.6,7.37,76.6,4.92,11.3,1850.0,57.7,73.3,282.0,205.0,13000.0,705.0
Gabon,SUB-SAHARAN AFRICA                 ,2005,Male,5.45,42.0,58.0,52.1,59.3,3.06,8.48,391.0,49.9,46.3,436.0,367.0,110.0,67.8
Gambia,SUB-SAHARAN AFRICA                 ,2005,Male,143.0,33.8,66.2,20.8,56.8,1.8,5.69,820.0,64.1,39.6,460.0,457.0,48.7,19.4
Georgia,C.W. OF IND. STATES ,2005,Male,64.6,17.0,83.0,79.6,68.9,2.64,11.6,544.0,62.1,26.9,385.0,234.0,272.0,185.0
Germany,WESTERN EUROPE                     ,2005,Male,234.0,79.5,20.5,14.0,76.3,4.11,11.4,1810.0,59.1,50.8,340.0,158.0,12500.0,822.0
Ghana,SUB-SAHARAN AFRICA                 ,2005,Male,94.7,48.7,51.3,40.4,57.9,6.4,7.33,703.0,74.3,47.0,471.0,367.0,1100.0,899.0
Greece,WESTERN EUROPE                     ,2005,Male,87.7,60.0,40.0,39.4,76.9,3.1,11.6,1400.0,60.9,51.6,361.0,169.0,446.0,118.0
Grenada,LATIN AMER. & CARIB    ,2005,Male,303.0,52.0,48.0,47.4,69.1,3.75,9.77,961.0,0.0,40.0,423.0,260.0,7.13,6.64
Guatemala,LATIN AMER. & CARIB    ,2005,Male,122.0,39.7,60.3,62.8,66.5,2.65,6.61,859.0,85.6,37.4,503.0,329.0,1290.0,5220.0
Guinea,SUB-SAHARAN AFRICA                 ,2005,Male,39.4,18.7,81.3,57.1,52.7,1.83,4.59,451.0,63.6,34.4,448.0,476.0,468.0,260.0
Guinea-Bissau,SUB-SAHARAN AFRICA                 ,2005,Male,49.1,16.2,83.8,41.2,52.4,1.79,3.94,779.0,74.5,49.5,417.0,427.0,103.0,94.0
Guyana,LATIN AMER. & CARIB    ,2005,Male,3.81,82.4,17.6,24.8,63.0,7.77,9.19,1220.0,69.5,39.5,429.0,299.0,206.0,147.0
